# model=m N=5 tag=3 x=0.5 y=0.6 M=400000 dt=0.0001
t,tau,C,connected,disconnected
0.0009,0.0009,-3.33386,0.65,3.98386
0.0009,0.0012,-2.90881,0.825,3.73381
0.0009,0.0015,-2.43618,1.0625,3.49868
0.0009,0.002,-1.98166,1.25625,3.23791
0.0009,0.0025,-1.49066,1.5125,3.00316
0.0009,0.0032,-1.3313,1.41875,2.75005
0.0009,0.0042,-0.968088,1.5,2.46809
0.0009,0.0053,-0.600442,1.7,2.30044
0.0009,0.0068,-0.478623,1.6,2.07862
0.0009,0.0087,-0.506488,1.40625,1.91274
0.0009,0.0111,-0.302949,1.44375,1.7467
0.0009,0.0142,-0.241803,1.3625,1.6043
0.0009,0.018,-0.261299,1.18125,1.44255
0.0009,0.023,-0.148612,1.20625,1.35486
0.0009,0.0293,-0.0994722,1.1625,1.26197
0.0009,0.0374,0.111003,1.325,1.214
0.0009,0.0476,0.0779859,1.25625,1.17826
0.0009,0.0606,0.0954315,1.25625,1.16082
0.0009,0.0772,-0.0234473,1.13125,1.1547
0.0009,0.0983,0.0394875,1.2,1.16051
0.0009,0.1252,0.0538967,1.19375,1.13985
0.0009,0.1595,0.0146891,1.1625,1.14781
0.0009,0.2031,0.0591035,1.2125,1.1534
0.0009,0.2586,0.0444574,1.18125,1.13679
0.0009,0.3293,0.0978557,1.2625,1.16464
0.0009,0.4193,-0.00507988,1.15,1.15508
0.0009,0.5338,-0.0806677,1.06875,1.14942
0.0009,0.6797,-0.0642897,1.0875,1.15179
0.0009,0.8655,0.144176,1.275,1.13082
0.0009,1.102,0.10206,1.24375,1.14169
0.0009,1.4031,0.0145081,1.15,1.13549
0.0009,1.7864,0,1.05625,0
0.0012,0.0009,-5.33455,0.875,6.20955
0.0012,0.0012,-4.47476,1.34375,5.81851
0.0012,0.0015,-3.85438,1.68125,5.53563
0.0012,0.002,-3.18187,1.95,5.13187
0.0012,0.0025,-2.57616,2.21875,4.79491
0.0012,0.0032,-1.58135,2.85,4.43135
0.0012,0.0042,-1.48144,2.5375,4.01894
0.0012,0.0053,-1.12093,2.59375,3.71468
0.0012,0.0068,-0.909987,2.525,3.43499
0.0012,0.0087,-0.581501,2.49375,3.07525
0.0012,0.0111,-0.470476,2.4125,2.88298
0.0012,0.0142,-0.355654,2.26875,2.6244
0.0012,0.018,-0.0741808,2.375,2.44918
0.0012,0.023,-0.0765025,2.2,2.2765
0.0012,0.0293,-0.16815,1.91875,2.0869
0.0012,0.0374,0.0247572,2.025,2.00024
0.0012,0.0476,0.0537702,2.025,1.97123
0.0012,0.0606,0.148405,2.0625,1.91409
0.0012,0.0772,-0.0469692,1.88125,1.92822
0.0012,0.0983,-0.168548,1.75,1.91855
0.0012,0.1252,0.01509,1.91875,1.90366
0.0012,0.1595,0.0665193,1.98125,1.91473
0.0012,0.2031,-0.0536305,1.8625,1.91613
0.0012,0.2586,-0.06893,1.85,1.91893
0.0012,0.3293,0.0505983,1.975,1.9244
0.0012,0.4193,-0.0260855,1.8875,1.91359
0.0012,0.5338,0.0708605,1.9875,1.91664
0.0012,0.6797,0.00401925,1.91875,1.91473
0.0012,0.8655,-0.024955,1.88125,1.9062
0.0012,1.102,0.110494,2.0125,1.90201
0.0012,1.4031,-0.05714,1.83125,1.88839
0.0012,1.7864,0,1.94375,0
0.0015,0.0009,-6.43073,1.2375,7.66823
0.0015,0.0012,-5.51417,1.78125,7.29542
0.0015,0.0015,-4.77756,2.1625,6.94006
0.0015,0.002,-3.92075,2.5375,6.45825
0.0015,0.0025,-2.94558,3.1625,6.10808
0.0015,0.0032,-2.29747,3.3875,5.68497
0.0015,0.0042,-1.70233,3.475,5.17733
0.0015,0.0053,-1.26614,3.54375,4.80989
0.0015,0.0068,-1.06065,3.31875,4.3794
0.0015,0.0087,-0.593322,3.45,4.04332
0.0015,0.0111,-0.423758,3.3125,3.73626
0.0015,0.0142,-0.172641,3.275,3.44764
0.0015,0.018,-0.0765099,3.09375,3.17026
0.0015,0.023,0.0414714,3.0125,2.97103
0.0015,0.0293,-0.103002,2.675,2.778
0.0015,0.0374,0.0923758,2.76875,2.67637
0.0015,0.0476,0.0685008,2.64375,2.57525
0.0015,0.0606,0.160705,2.6625,2.5018
0.0015,0.0772,-0.14456,2.4,2.54456
0.0015,0.0983,0.196237,2.70625,2.51001
0.0015,0.1252,0.0206892,2.525,2.50431
0.0015,0.1595,-0.0308651,2.46875,2.49962
0.0015,0.2031,0.115221,2.5875,2.47228
0.0015,0.2586,-0.0182301,2.5,2.51823
0.0015,0.3293,-0.0710033,2.4375,2.5085
0.0015,0.4193,-0.1723,2.34375,2.51605
0.0015,0.5338,0.0668648,2.55625,2.48939
0.0015,0.6797,-0.0610844,2.4875,2.54858
0.0015,0.8655,0.0210574,2.50625,2.48519
0.0015,1.102,-0.157374,2.34375,2.50112
0.0015,1.4031,-0.127409,2.40625,2.53366
0.0015,1.7864,0,2.41875,0
0.002,0.0009,-7.7582,1.6375,9.3957
0.002,0.0012,-6.43555,2.51875,8.9543
0.002,0.0015,-5.81292,2.7375,8.55042
0.002,0.002,-4.56182,3.525,8.08682
0.002,0.0025,-3.54305,4.0875,7.63055
0.002,0.0032,-2.78164,4.35,7.13164
0.002,0.0042,-2.00662,4.66875,6.67537
0.002,0.0053,-1.34807,4.8375,6.18557
0.002,0.0068,-0.773031,4.875,5.64803
0.002,0.0087,-0.696333,4.6,5.29633
0.002,0.0111,-0.753348,4.10625,4.8596
0.002,0.0142,-0.496742,3.96875,4.46549
0.002,0.018,-0.225987,3.9875,4.21349
0.002,0.023,-0.102965,3.78125,3.88421
0.002,0.0293,-0.0552342,3.6125,3.66773
0.002,0.0374,-0.0348369,3.48125,3.51609
0.002,0.0476,0.194272,3.64375,3.44948
0.002,0.0606,0.0646466,3.4,3.33535
0.002,0.0772,0.0346294,3.35,3.31537
0.002,0.0983,0.00259062,3.3375,3.33491
0.002,0.1252,-0.134588,3.21875,3.35334
0.002,0.1595,-0.0747192,3.2875,3.36222
0.002,0.2031,0.168988,3.48125,3.31226
0.002,0.2586,-0.49106,2.8625,3.35356
0.002,0.3293,0.161916,3.4875,3.32558
0.002,0.4193,0.130699,3.4625,3.3318
0.002,0.5338,0.15551,3.49375,3.33824
0.002,0.6797,0.0346625,3.35625,3.32159
0.002,0.8655,0.00252438,3.325,3.32248
0.002,1.102,0.285518,3.6,3.31448
0.002,1.4031,-0.0306245,3.3125,3.34312
0.002,1.7864,0,3.41875,0
0.0025,0.0009,-8.40244,1.69375,10.0962
0.0025,0.0012,-6.8866,2.80625,9.69285
0.0025,0.0015,-6.06899,3.3,9.36899
0.0025,0.002,-4.64662,4.19375,8.84037
0.0025,0.0025,-3.97265,4.40625,8.3789
0.0025,0.0032,-2.91634,5.025,7.94134
0.0025,0.0042,-1.62969,5.7375,7.36719
0.0025,0.0053,-1.48534,5.425,6.91034
0.0025,0.0068,-1.04097,5.39375,6.43472
0.0025,0.0087,-0.991302,5.0375,6.0288
0.0025,0.0111,-0.989759,4.6375,5.62726
0.0025,0.0142,-0.319563,4.85625,5.17581
0.0025,0.018,-0.227518,4.6,4.82752
0.0025,0.023,-0.311015,4.1875,4.49851
0.0025,0.0293,-0.102571,4.13125,4.23382
0.0025,0.0374,0.212164,4.26875,4.05659
0.0025,0.0476,0.113181,4.0625,3.94932
0.0025,0.0606,0.0514041,3.975,3.9236
0.0025,0.0772,-0.0606218,3.775,3.83562
0.0025,0.0983,-0.0915944,3.7875,3.87909
0.0025,0.1252,0.120287,4.0125,3.89221
0.0025,0.1595,-0.160497,3.70625,3.86675
0.0025,0.2031,-0.148178,3.725,3.87318
0.0025,0.2586,-0.265023,3.59375,3.85877
0.0025,0.3293,-0.0128886,3.85,3.86289
0.0025,0.4193,-0.00447625,3.84375,3.84823
0.0025,0.5338,-0.09817,3.7125,3.81067
0.0025,0.6797,0.068076,3.95,3.88192
0.0025,0.8655,0.192075,4.05625,3.86417
0.0025,1.102,0.0578227,3.86875,3.81093
0.0025,1.4031,0.115769,3.9375,3.82173
0.0025,1.7864,0,3.84375,0
0.0032,0.0009,-8.16317,1.975,10.1382
0.0032,0.0012,-6.82934,2.99375,9.82309
0.0032,0.0015,-5.98092,3.58125,9.56217
0.0032,0.002,-4.27285,4.7875,9.06035
0.0032,0.0025,-3.39582,5.3125,8.70832
0.0032,0.0032,-2.40087,5.8375,8.23837
0.0032,0.0042,-1.67834,6.175,7.85334
0.0032,0.0053,-1.03309,6.19375,7.22684
0.0032,0.0068,-0.821302,5.9875,6.8088
0.0032,0.0087,-0.71866,5.74375,6.46241
0.0032,0.0111,-0.545941,5.4375,5.98344
0.0032,0.0142,-0.384627,5.19375,5.57838
0.0032,0.018,0.101389,5.3125,5.21111
0.0032,0.023,0.0190858,4.84375,4.82466
0.0032,0.0293,0.0681443,4.68125,4.61311
0.0032,0.0374,-0.0344453,4.375,4.40945
0.0032,0.0476,0.0196531,4.40625,4.3866
0.0032,0.0606,0.0462012,4.33125,4.28505
0.0032,0.0772,0.0459798,4.3,4.25402
0.0032,0.0983,-0.121404,4.125,4.2464
0.0032,0.1252,0.215117,4.44375,4.22863
0.0032,0.1595,-0.12599,4.075,4.20099
0.0032,0.2031,-0.00207355,4.20625,4.20832
0.0032,0.2586,-0.121924,4.13125,4.25317
0.0032,0.3293,-0.308738,3.88125,4.18999
0.0032,0.4193,-0.045138,4.1,4.14514
0.0032,0.5338,0.0815659,4.30625,4.22468
0.0032,0.6797,-0.048008,4.2125,4.26051
0.0032,0.8655,-0.122693,4.0625,4.18519
0.0032,1.102,0.106671,4.30625,4.19958
0.0032,1.4031,-0.00195709,4.2625,4.26446
0.0032,1.7864,0,4.3625,0
0.0042,0.0009,-7.67489,1.91875,9.59364
0.0042,0.0012,-6.38723,3.00625,9.39348
0.0042,0.0015,-5.37576,3.80625,9.18201
0.0042,0.002,-4.09824,4.84375,8.94199
0.0042,0.0025,-3.15566,5.3625,8.51816
0.0042,0.0032,-2.19927,6.08125,8.28052
0.0042,0.0042,-1.45052,6.3,7.75052
0.0042,0.0053,-1.32039,6.075,7.39539
0.0042,0.0068,-0.769474,6.21875,6.98822
0.0042,0.0087,-0.350684,6.25,6.60068
0.0042,0.0111,-0.442679,5.6625,6.10518
0.0042,0.0142,-0.1215,5.60625,5.72775
0.0042,0.018,-0.117812,5.3375,5.45531
0.0042,0.023,-0.0629629,5.075,5.13796
0.0042,0.0293,-0.0473983,4.775,4.8224
0.0042,0.0374,-0.00643687,4.65,4.65644
0.0042,0.0476,0.0813026,4.65,4.5687
0.0042,0.0606,-0.158655,4.29375,4.45241
0.0042,0.0772,0.0217313,4.51875,4.49702
0.0042,0.0983,-0.220209,4.3125,4.53271
0.0042,0.1252,0.00920641,4.46875,4.45954
0.0042,0.1595,-0.0399096,4.40625,4.44616
0.0042,0.2031,0.137784,4.60625,4.46847
0.0042,0.2586,-0.132139,4.3625,4.49464
0.0042,0.3293,0.0312322,4.49375,4.46252
0.0042,0.4193,-0.0232457,4.41875,4.442
0.0042,0.5338,0.103237,4.5375,4.43426
0.0042,0.6797,0.00709133,4.41875,4.41166
0.0042,0.8655,-0.231272,4.225,4.45627
0.0042,1.102,-0.0521495,4.3375,4.38965
0.0042,1.4031,-0.339579,4.15625,4.49583
0.0042,1.7864,0,4.43125,0
0.0053,0.0009,-7.12656,2.125,9.25156
0.0053,0.0012,-5.78918,3.19375,8.98293
0.0053,0.0015,-4.87568,3.95,8.82568
0.0053,0.002,-3.44774,5.125,8.57274
0.0053,0.0025,-2.65406,5.6125,8.26656
0.0053,0.0032,-2.115,5.76875,7.88375
0.0053,0.0042,-1.28268,6.36875,7.65143
0.0053,0.0053,-1.05971,6.3,7.35971
0.0053,0.0068,-0.547524,6.45,6.99752
0.0053,0.0087,-0.276756,6.2875,6.56426
0.0053,0.0111,0.0835075,6.2625,6.17899
0.0053,0.0142,-0.267115,5.55,5.81712
0.0053,0.018,-0.0263958,5.475,5.5014
0.0053,0.023,0.125784,5.325,5.19922
0.0053,0.0293,-0.217907,4.74375,4.96166
0.0053,0.0374,0.104162,4.9375,4.83334
0.0053,0.0476,0.0414789,4.7625,4.72102
0.0053,0.0606,0.131927,4.78125,4.64932
0.0053,0.0772,0.0396621,4.64375,4.60409
0.0053,0.0983,-0.0911846,4.51875,4.60993
0.0053,0.1252,-0.007452,4.58125,4.5887
0.0053,0.1595,-0.0126832,4.58125,4.59393
0.0053,0.2031,-0.0913219,4.55,4.64132
0.0053,0.2586,-0.111802,4.51875,4.63055
0.0053,0.3293,0.00446566,4.65625,4.65178
0.0053,0.4193,0.0344308,4.64375,4.60932
0.0053,0.5338,-0.104375,4.48125,4.58562
