# model=nm N=5 tag=3 x=0.5 y=0.6 M=400000 dt=0.0001
t,tau,C,connected,disconnected
0.0009,0.0009,-2.68386,0.49375,3.17761
0.0009,0.0012,-2.3261,0.6625,2.9886
0.0009,0.0015,-2.05775,0.775,2.83275
0.0009,0.002,-1.61651,0.9875,2.60401
0.0009,0.0025,-1.46794,1.00625,2.47419
0.0009,0.0032,-0.980531,1.30625,2.28678
0.0009,0.0042,-0.881645,1.1875,2.06914
0.0009,0.0053,-0.758639,1.16875,1.92739
0.0009,0.0068,-0.331322,1.45,1.78132
0.0009,0.0087,-0.336089,1.29375,1.62984
0.0009,0.0111,-0.228712,1.2875,1.51621
0.0009,0.0142,-0.138489,1.25625,1.39474
0.0009,0.018,-0.204656,1.1,1.30466
0.0009,0.023,-0.113598,1.075,1.1886
0.0009,0.0293,-0.140426,0.975,1.11543
0.0009,0.0374,-0.0248308,1.01875,1.04358
0.0009,0.0476,0.0096853,0.9875,0.977815
0.0009,0.0606,-0.0708811,0.8625,0.933381
0.0009,0.0772,0.047226,0.9375,0.890274
0.0009,0.0983,0.0570484,0.91875,0.861702
0.0009,0.1252,-0.0256485,0.825,0.850649
0.0009,0.1595,0.0561392,0.8875,0.831361
0.0009,0.2031,-0.00569263,0.83125,0.836943
0.0009,0.2586,0.00132611,0.83125,0.829924
0.0009,0.3293,0.114655,0.94375,0.829095
0.0009,0.4193,-0.00244192,0.81875,0.821192
0.0009,0.5338,-0.195413,0.63125,0.826663
0.0009,0.6797,-0.0497692,0.79375,0.843519
0.0009,0.8655,-0.0414341,0.78125,0.822684
0.0009,1.102,0.024005,0.85625,0.832245
0.0009,1.4031,0.0306971,0.8625,0.831803
0.0009,1.7864,0,0.9625,0
0.0012,0.0009,-4.60887,0.7625,5.37137
0.0012,0.0012,-3.96001,1.13125,5.09126
0.0012,0.0015,-3.4528,1.41875,4.87155
0.0012,0.002,-2.99808,1.50625,4.50433
0.0012,0.0025,-2.49739,1.76875,4.26614
0.0012,0.0032,-1.81655,2.1375,3.95405
0.0012,0.0042,-1.30209,2.34375,3.64584
0.0012,0.0053,-1.13635,2.29375,3.4301
0.0012,0.0068,-0.867482,2.30625,3.17373
0.0012,0.0087,-0.758297,2.125,2.8833
0.0012,0.0111,-0.583663,2.1125,2.69616
0.0012,0.0142,-0.42217,2.04375,2.46592
0.0012,0.018,-0.299385,2.03125,2.33064
0.0012,0.023,-0.181796,1.9625,2.1443
0.0012,0.0293,-0.0185078,1.96875,1.98726
0.0012,0.0374,-0.0344225,1.825,1.85942
0.0012,0.0476,-0.00217114,1.76875,1.77092
0.0012,0.0606,0.0847486,1.7625,1.67775
0.0012,0.0772,0.0968594,1.6875,1.59064
0.0012,0.0983,-0.125841,1.45,1.57584
0.0012,0.1252,0.0682917,1.575,1.50671
0.0012,0.1595,-0.123472,1.38125,1.50472
0.0012,0.2031,0.160063,1.6625,1.50244
0.0012,0.2586,-0.0347491,1.44375,1.4785
0.0012,0.3293,-0.114441,1.3875,1.50194
0.0012,0.4193,0.0883329,1.59375,1.50542
0.0012,0.5338,-0.050955,1.45625,1.5072
0.0012,0.6797,0.0899375,1.58125,1.49131
0.0012,0.8655,0.177636,1.66875,1.49111
0.0012,1.102,-0.2545,1.23125,1.48575
0.0012,1.4031,0.118185,1.63125,1.51307
0.0012,1.7864,0,1.55625,0
0.0015,0.0009,-6.11437,0.875,6.98937
0.0015,0.0012,-5.269,1.41875,6.68775
0.0015,0.0015,-4.66762,1.7125,6.38012
0.0015,0.002,-3.74947,2.23125,5.98072
0.0015,0.0025,-3.25796,2.4,5.65796
0.0015,0.0032,-2.28002,2.975,5.25502
0.0015,0.0042,-2.14176,2.75,4.89176
0.0015,0.0053,-1.36265,3.25625,4.6189
0.0015,0.0068,-0.952435,3.31875,4.27118
0.0015,0.0087,-0.953285,3.025,3.97828
0.0015,0.0111,-0.441659,3.2125,3.65416
0.0015,0.0142,-0.534327,2.81875,3.35308
0.0015,0.018,-0.22247,2.93125,3.15372
0.0015,0.023,-0.363955,2.5375,2.90145
0.0015,0.0293,-0.204825,2.5,2.70482
0.0015,0.0374,-0.129693,2.425,2.55469
0.0015,0.0476,-0.0624013,2.36875,2.43115
0.0015,0.0606,0.12439,2.4125,2.28811
0.0015,0.0772,-0.0737724,2.11875,2.19252
0.0015,0.0983,-0.162911,1.95625,2.11916
0.0015,0.1252,0.0192247,2.11875,2.09953
0.0015,0.1595,0.126247,2.2,2.07375
0.0015,0.2031,-0.1648,1.875,2.0398
0.0015,0.2586,0.17461,2.25,2.07539
0.0015,0.3293,0.0267909,2.0625,2.03571
0.0015,0.4193,0.151473,2.2,2.04853
0.0015,0.5338,-0.0555037,2.00625,2.06175
0.0015,0.6797,0.0955646,2.1625,2.06694
0.0015,0.8655,0.0873143,2.14375,2.05644
0.0015,1.102,0.0619503,2.10625,2.0443
0.0015,1.4031,0.0516557,2.125,2.07334
0.0015,1.7864,0,2.1625,0
0.002,0.0009,-7.39877,1.28125,8.68002
0.002,0.0012,-6.40395,1.95,8.35395
0.002,0.0015,-5.68608,2.39375,8.07983
0.002,0.002,-4.48129,3.1625,7.64379
0.002,0.0025,-3.56175,3.7125,7.27425
0.002,0.0032,-2.89517,3.9375,6.83267
0.002,0.0042,-1.99963,4.425,6.42463
0.002,0.0053,-1.58698,4.425,6.01198
0.002,0.0068,-1.16616,4.39375,5.55991
0.002,0.0087,-0.728249,4.55625,5.2845
0.002,0.0111,-1.0713,3.8,4.8713
0.002,0.0142,-0.453663,4.08125,4.53491
0.002,0.018,-0.492005,3.75,4.24201
0.002,0.023,-0.00235953,3.925,3.92736
0.002,0.0293,-0.300204,3.39375,3.69395
0.002,0.0374,-0.148705,3.275,3.42371
0.002,0.0476,0.123184,3.36875,3.24557
0.002,0.0606,-0.000244219,3.1125,3.11274
0.002,0.0772,-0.157632,2.8,2.95763
0.002,0.0983,-0.056945,2.8375,2.89445
0.002,0.1252,-0.133455,2.69375,2.82721
0.002,0.1595,-0.136084,2.63125,2.76733
0.002,0.2031,-0.0188347,2.7625,2.78133
0.002,0.2586,-0.128163,2.63125,2.75941
0.002,0.3293,-0.0386363,2.71875,2.75739
0.002,0.4193,0.158416,2.91875,2.76033
0.002,0.5338,0.170903,2.9375,2.7666
0.002,0.6797,-0.14082,2.60625,2.74707
0.002,0.8655,0.0165986,2.81875,2.80215
0.002,1.102,0.0601912,2.85,2.78981
0.002,1.4031,-0.0379666,2.75,2.78797
0.002,1.7864,0,2.64375,0
0.0025,0.0009,-8.53225,1.28125,9.8135
0.0025,0.0012,-7.36477,2.05,9.41477
0.0025,0.0015,-6.31415,2.78125,9.0954
0.0025,0.002,-5.04317,3.6125,8.65567
0.0025,0.0025,-4.68971,3.60625,8.29596
0.0025,0.0032,-3.75119,4.1125,7.86369
0.0025,0.0042,-2.66562,4.8,7.46562
0.0025,0.0053,-2.00312,4.9625,6.96562
0.0025,0.0068,-1.45911,5.09375,6.55286
0.0025,0.0087,-1.30662,4.91875,6.22537
0.0025,0.0111,-0.785455,4.9375,5.72296
0.0025,0.0142,-0.719402,4.6,5.3194
0.0025,0.018,-0.513406,4.475,4.98841
0.0025,0.023,-0.272026,4.30625,4.57828
0.0025,0.0293,-0.328144,4.05,4.37814
0.0025,0.0374,-0.157091,3.96875,4.12584
0.0025,0.0476,-0.0771526,3.80625,3.8834
0.0025,0.0606,-0.114199,3.55,3.6642
0.0025,0.0772,-0.0147935,3.54375,3.55854
0.0025,0.0983,0.0129113,3.4875,3.47459
0.0025,0.1252,-0.143601,3.23125,3.37485
0.0025,0.1595,0.211959,3.5125,3.30054
0.0025,0.2031,0.113605,3.41875,3.30514
0.0025,0.2586,-0.0193983,3.2875,3.3069
0.0025,0.3293,0.183553,3.46875,3.2852
0.0025,0.4193,0.189584,3.475,3.28542
0.0025,0.5338,-0.0511991,3.25,3.3012
0.0025,0.6797,0.166781,3.4625,3.29572
0.0025,0.8655,0.131163,3.46875,3.33759
0.0025,1.102,0.0167756,3.3,3.28322
0.0025,1.4031,-0.0952914,3.175,3.27029
0.0025,1.7864,0,3.2,0
0.0032,0.0009,-8.78006,1.58125,10.3613
0.0032,0.0012,-7.61817,2.35,9.96817
0.0032,0.0015,-6.55016,3.1,9.65016
0.0032,0.002,-5.15007,4.1375,9.28757
0.0032,0.0025,-4.18307,4.8,8.98307
0.0032,0.0032,-3.50051,5.1375,8.63801
0.0032,0.0042,-2.41344,5.71875,8.13219
0.0032,0.0053,-2.1013,5.63125,7.73255
0.0032,0.0068,-1.45238,5.86875,7.32113
0.0032,0.0087,-1.37037,5.48125,6.85162
0.0032,0.0111,-0.661161,5.75625,6.41741
0.0032,0.0142,-0.405033,5.625,6.03003
0.0032,0.018,-0.549094,5.05625,5.60534
0.0032,0.023,-0.224997,5.0125,5.2375
0.0032,0.0293,-0.0229869,4.9,4.92299
0.0032,0.0374,0.0921527,4.775,4.68285
0.0032,0.0476,-0.424469,4.025,4.44947
