# N=5 tag=3 x=0.5 y=0.6 max_many_eig=100
t,tau,C,connected,disconnected
0.001,0.001,-3.0931,2.61941,5.71251
0.001,0.0011375,-2.87334,2.71011,5.58345
0.001,0.0012939,-2.64477,2.80134,5.44611
0.001,0.0014718,-2.40959,2.89142,5.30101
0.001,0.00167417,-2.17047,2.97843,5.14889
0.001,0.00190436,-1.93046,3.06027,4.99073
0.001,0.0021662,-1.69291,3.13474,4.82766
0.001,0.00246404,-1.46132,3.19967,4.661
0.001,0.00280283,-1.23914,3.25303,4.49217
0.001,0.00318821,-1.02957,3.29307,4.32264
0.001,0.00362657,-0.835352,3.31849,4.15384
0.001,0.00412521,-0.658621,3.32849,3.98711
0.001,0.00469241,-0.500764,3.32287,3.82364
0.001,0.00533759,-0.362397,3.30203,3.66442
0.001,0.00607149,-0.243393,3.26685,3.51025
0.001,0.00690629,-0.142993,3.21871,3.3617
0.001,0.00785588,-0.0599594,3.15921,3.21917
0.001,0.00893602,0.00725776,3.09017,3.08292
0.001,0.0101647,0.0603635,3.01342,2.95305
0.001,0.0115623,0.101094,2.93071,2.82962
0.001,0.013152,0.131129,2.8437,2.71257
0.001,0.0149604,0.152043,2.75388,2.60183
0.001,0.0170174,0.16528,2.66256,2.49728
0.001,0.0193572,0.172149,2.57091,2.39876
0.001,0.0220187,0.173825,2.47995,2.30612
0.001,0.0250462,0.17136,2.39056,2.2192
0.001,0.0284899,0.165678,2.30355,2.13787
0.001,0.0324072,0.157573,2.21964,2.06207
0.001,0.036863,0.147692,2.13949,1.9918
0.001,0.0419315,0.136536,2.06369,1.92716
0.001,0.0476969,0.124471,1.99278,1.86831
0.001,0.054255,0.111764,1.9272,1.81544
0.001,0.0617148,0.0986359,1.86731,1.76867
0.001,0.0702003,0.0853178,1.81337,1.72806
0.001,0.0798525,0.0720822,1.76555,1.69347
0.001,0.0908318,0.0592544,1.72391,1.66465
0.001,0.103321,0.0471933,1.68838,1.64119
0.001,0.117527,0.0362511,1.6588,1.62255
0.001,0.133686,0.0267235,1.63485,1.60813
0.001,0.152068,0.018804,1.6161,1.5973
0.001,0.172976,0.012555,1.60198,1.58943
0.001,0.19676,0.00790159,1.59184,1.58393
0.001,0.223813,0.0046528,1.58493,1.58027
0.001,0.254587,0.00254181,1.58051,1.57797
0.001,0.289591,0.00127585,1.57789,1.57661
0.001,0.329408,0.00058192,1.57646,1.57588
0.001,0.374701,0.000238117,1.57576,1.57552
0.001,0.42622,8.61428e-05,1.57545,1.57536
0.001,0.484824,2.70937e-05,1.57533,1.5753
0.001,0.551485,7.26808e-06,1.57529,1.57528
0.001,0.627311,1.62701e-06,1.57527,1.57527
0.001,0.713564,2.9647e-07,1.57527,1.57527
0.001,0.811675,4.27469e-08,1.57527,1.57527
0.001,0.923277,4.72265e-09,1.57527,1.57527
0.001,1.05022,3.85408e-10,1.57527,1.57527
0.001,1.19462,2.22856e-11,1.57527,1.57527
0.001,1.35888,8.70704e-13,1.57527,1.57527
0.001,1.54572,2.16791e-14,1.57527,1.57527
0.001,1.75825,2.19401e-16,1.57527,1.57527
0.001,2,-1.06129e-16,1.57527,1.57527
0.0011375,0.001,-3.77781,2.71011,6.48792
0.0011375,0.0011375,-3.51925,2.82778,6.34703
0.0011375,0.0012939,-3.25021,2.94668,6.19689
0.0011375,0.0014718,-2.97323,3.06477,6.038
0.0011375,0.00167417,-2.6914,3.17972,5.87113
0.0011375,0.00190436,-2.4083,3.28896,5.69726
0.0011375,0.0021662,-2.12781,3.3898,5.51761
0.0011375,0.00246404,-1.85402,3.47955,5.33357
0.0011375,0.00280283,-1.59093,3.55571,5.14664
0.0011375,0.00318821,-1.34229,3.61612,4.95842
0.0011375,0.00362657,-1.11131,3.65915,4.77046
0.0011375,0.00412521,-0.900478,3.68376,4.58424
0.0011375,0.00469241,-0.711428,3.68967,4.4011
0.0011375,0.00533759,-0.544898,3.67727,4.22217
0.0011375,0.00607149,-0.400763,3.64763,4.04839
0.0011375,0.00690629,-0.278168,3.60229,3.88046
0.0011375,0.00785588,-0.175697,3.5432,3.7189
0.0011375,0.00893602,-0.0915768,3.47247,3.56405
0.0011375,0.0101647,-0.0238517,3.39226,3.41612
0.0011375,0.0115623,0.029469,3.30467,3.2752
0.0011375,0.013152,0.0703114,3.21164,3.14133
0.0011375,0.0149604,0.100478,3.11493,3.01445
0.0011375,0.0170174,0.12162,3.01609,2.89447
0.0011375,0.0193572,0.135231,2.91649,2.78126
0.0011375,0.0220187,0.142654,2.81732,2.67467
0.0011375,0.0250462,0.145084,2.71963,2.57455
0.0011375,0.0284899,0.143577,2.62436,2.48079
0.0011375,0.0324072,0.13904,2.53236,2.39332
0.0011375,0.036863,0.132221,2.44441,2.31219
0.0011375,0.0419315,0.123699,2.36122,2.23752
0.0011375,0.0476969,0.113905,2.28342,2.16951
0.0011375,0.054255,0.103154,2.21154,2.10839
0.0011375,0.0617148,0.0917073,2.14602,2.05431
0.0011375,0.0702003,0.0798225,2.08715,2.00732
0.0011375,0.0798525,0.0677973,2.03511,1.96731
0.0011375,0.0908318,0.0559791,1.98994,1.93396
0.0011375,0.103321,0.0447473,1.95155,1.9068
0.0011375,0.117527,0.0344732,1.91969,1.88522
0.0011375,0.133686,0.0254717,1.89399,1.86852
0.0011375,0.152068,0.017955,1.87393,1.85597
0.0011375,0.172976,0.0120039,1.85886,1.84686
0.0011375,0.19676,0.0075618,1.84805,1.84049
0.0011375,0.223813,0.00445553,1.8407,1.83625
0.0011375,0.254587,0.00243501,1.83601,1.83358
0.0011375,0.289591,0.00122254,1.83323,1.83201
0.0011375,0.329408,0.000557674,1.83172,1.83116
0.0011375,0.374701,0.00022821,1.83097,1.83074
0.0011375,0.42622,8.25612e-05,1.83064,1.83056
0.0011375,0.484824,2.59675e-05,1.83051,1.83048
0.0011375,0.551485,6.96599e-06,1.83047,1.83046
0.0011375,0.627311,1.55939e-06,1.83045,1.83045
0.0011375,0.713564,2.84148e-07,1.83045,1.83045
0.0011375,0.811675,4.09703e-08,1.83045,1.83045
0.0011375,0.923277,4.52636e-09,1.83045,1.83045
0.0011375,1.05022,3.6939e-10,1.83045,1.83045
0.0011375,1.19462,2.13593e-11,1.83045,1.83045
0.0011375,1.35888,8.34512e-13,1.83045,1.83045
0.0011375,1.54572,2.07748e-14,1.83045,1.83045
0.0011375,1.75825,2.07037e-16,1.83045,1.83045
0.0011375,2,-1.04963e-16,1.83045,1.83045
0.0012939,0.001,-4.43512,2.80134,7.23645
0.0012939,0.0011375,-4.13947,2.94668,7.08615
0.0012939,0.0012939,-3.83171,3.09399,6.92569
0.0012939,0.0014718,-3.51474,3.24086,6.75559
0.0012939,0.00167417,-3.19205,3.38453,6.57658
0.0012939,0.00190436,-2.86769,3.52196,6.38965
0.0012939,0.0021662,-2.54608,3.64995,6.19603
0.0012939,0.00246404,-2.23184,3.76529,5.99714
0.0012939,0.00280283,-1.92954,3.86501,5.79455
0.0012939,0.00318821,-1.64343,3.9465,5.58993
0.0012939,0.00362657,-1.37716,4.00778,5.38494
0.0012939,0.00412521,-1.13357,4.0476,5.18117
0.0012939,0.00469241,-0.914539,4.06555,4.98008
0.0012939,0.00533759,-0.720924,4.06204,4.78297
0.0012939,0.00607149,-0.552606,4.03827,4.59088
0.0012939,0.00690629,-0.408639,3.99602,4.40466
0.0012939,0.00785588,-0.287443,3.93752,4.22497
0.0012939,0.00893602,-0.187032,3.86521,4.05225
0.0012939,0.0101647,-0.105213,3.7816,3.88681
0.0012939,0.0115623,-0.0397501,3.68911,3.72886
0.0012939,0.013152,0.0115161,3.58998,3.57847
0.0012939,0.0149604,0.0506075,3.48626,3.43566
0.0012939,0.0170174,0.0793742,3.37975,3.30038
0.0012939,0.0193572,0.0994887,3.27202,3.17254
0.0012939,0.0220187,0.112451,3.16445,3.052
0.0012939,0.0250462,0.1196,3.05825,2.93865
0.0012939,0.0284899,0.122116,2.9545,2.83238
0.0012939,0.0324072,0.121018,2.85419,2.73317
0.0012939,0.036863,0.117147,2.75821,2.64107
0.0012939,0.0419315,0.111163,2.66741,2.55625
0.0012939,0.0476969,0.103559,2.58252,2.47896
0.0012939,0.054255,0.0946982,2.50417,2.40947
0.0012939,0.0617148,0.084878,2.43285,2.34797
0.0012939,0.0702003,0.0743853,2.3689,2.29452
0.0012939,0.0798525,0.063541,2.31253,2.24899
0.0012939,0.0908318,0.0527128,2.26374,2.21103
0.0012939,0.103321,0.0422984,2.2224,2.1801
0.0012939,0.117527,0.032687,2.18821,2.15552
0.0012939,0.133686,0.0242102,2.16071,2.1365
0.0012939,0.152068,0.0170972,2.13931,2.12221
0.0012939,0.172976,0.0114459,2.12327,2.11182
0.0012939,0.19676,0.00721721,2.11178,2.10457
0.0012939,0.223813,0.00425524,2.10399,2.09973
0.0012939,0.254587,0.00232651,2.09901,2.09669
0.0012939,0.289591,0.00116834,2.09607,2.0949
0.0012939,0.329408,0.000533025,2.09446,2.09393
0.0012939,0.374701,0.000218137,2.09367,2.09345
0.0012939,0.42622,7.89194e-05,2.09332,2.09324
0.0012939,0.484824,2.48223e-05,2.09319,2.09316
0.0012939,0.551485,6.65882e-06,2.09314,2.09313
0.0012939,0.627311,1.49062e-06,2.09313,2.09313
0.0012939,0.713564,2.71618e-07,2.09312,2.09312
0.0012939,0.811675,3.91637e-08,2.09312,2.09312
0.0012939,0.923277,4.32677e-09,2.09312,2.09312
0.0012939,1.05022,3.53101e-10,2.09312,2.09312
0.0012939,1.19462,2.04175e-11,2.09312,2.09312
0.0012939,1.35888,7.97726e-13,2.09312,2.09312
0.0012939,1.54572,1.98702e-14,2.09312,2.09312
0.0012939,1.75825,2.09392e-16,2.09312,2.09312
0.0012939,2,-8.88511e-17,2.09312,2.09312
0.0014718,0.001,-5.0506,2.89142,7.94201
0.0014718,0.0011375,-4.72029,3.06477,7.78506
0.0014718,0.0012939,-4.37635,3.24086,7.61721
0.0014718,0.0014718,-4.022,3.41691,7.43891
0.0014718,0.00167417,-3.66111,3.58973,7.25084
0.0014718,0.00190436,-3.29817,3.75579,7.05396
0.0014718,0.0021662,-2.93809,3.91138,6.84948
0.0014718,0.00246404,-2.58602,4.0528,6.63881
0.0014718,0.00280283,-2.24702,4.17654,6.42356
0.0014718,0.00318821,-1.92582,4.27958,6.2054
0.0014718,0.00362657,-1.6265,4.35958,5.98608
0.0014718,0.00412521,-1.35222,4.41504,5.76726
0.0014718,0.00469241,-1.1051,4.44544,5.55054
0.0014718,0.00533759,-0.886094,4.4512,5.33729
0.0014718,0.00607149,-0.695102,4.43363,5.12873
0.0014718,0.00690629,-0.531091,4.39475,4.92584
0.0014718,0.00785588,-0.392333,4.33706,4.7294
0.0014718,0.00893602,-0.276641,4.26335,4.53999
0.0014718,0.0101647,-0.181601,4.17646,4.35806
0.0014718,0.0115623,-0.104752,4.07914,4.1839
0.0014718,0.013152,-0.043712,3.97396,4.01768
0.0014718,0.0149604,0.00374518,3.86324,3.8595
0.0014718,0.0170174,0.0396566,3.74902,3.70937
0.0014718,0.0193572,0.0658618,3.63311,3.56724
0.0014718,0.0220187,0.0840105,3.51705,3.43304
0.0014718,0.0250462,0.0955739,3.40224,3.30666
0.0014718,0.0284899,0.101852,3.28989,3.18804
0.0014718,0.0324072,0.103966,3.18115,3.07718
0.0014718,0.036863,0.102849,3.07704,2.97419
0.0014718,0.0419315,0.0992359,2.97851,2.87928
0.0014718,0.0476969,0.0936792,2.88643,2.79275
0.0014718,0.054255,0.0865898,2.8015,2.71491
0.0014718,0.0617148,0.078299,2.72429,2.64599
0.0014718,0.0702003,0.0691212,2.65519,2.58607
0.0014718,0.0798525,0.0593988,2.59441,2.53501
0.0014718,0.0908318,0.0495176,2.54195,2.49244
0.0014718,0.103321,0.0398911,2.49763,2.45774
0.0014718,0.117527,0.0309231,2.46108,2.43016
0.0014718,0.133686,0.0229594,2.43176,2.4088
0.0014718,0.152068,0.0162438,2.409,2.39275
0.0014718,0.172976,0.0108893,2.39198,2.38109
0.0014718,0.19676,0.00687289,2.37981,2.37294
0.0014718,0.223813,0.00405484,2.37156,2.36751
0.0014718,0.254587,0.00221785,2.36631,2.36409
0.0014718,0.289591,0.00111405,2.36319,2.36208
0.0014718,0.329408,0.000508319,2.3615,2.36099
0.0014718,0.374701,0.00020804,2.36066,2.36045
0.0014718,0.42622,7.52685e-05,2.36029,2.36022
0.0014718,0.484824,2.36743e-05,2.36015,2.36013
0.0014718,0.551485,6.35087e-06,2.3601,2.36009
0.0014718,0.627311,1.42169e-06,2.36009,2.36009
0.0014718,0.713564,2.59057e-07,2.36008,2.36008
0.0014718,0.811675,3.73525e-08,2.36008,2.36008
0.0014718,0.923277,4.12667e-09,2.36008,2.36008
0.0014718,1.05022,3.36772e-10,2.36008,2.36008
0.0014718,1.19462,1.94734e-11,2.36008,2.36008
0.0014718,1.35888,7.6102e-13,2.36008,2.36008
0.0014718,1.54572,1.91367e-14,2.36008,2.36008
0.0014718,1.75825,3.85142e-16,2.36008,2.36008
0.0014718,2,1.00691e-16,2.36008,2.36008
0.00167417,0.001,-5.60998,2.97843,8.5884
0.00167417,0.0011375,-5.24812,3.17972,8.42785
0.00167417,0.0012939,-4.87127,3.38453,8.2558
0.00167417,0.0014718,-4.48289,3.58973,8.07262
0.00167417,0.00167417,-4.08724,3.79169,7.87892
0.00167417,0.00190436,-3.68919,3.98642,7.67561
0.00167417,0.0021662,-3.29411,4.16969,7.4638
0.00167417,0.00246404,-2.90761,4.33728,7.24489
0.00167417,0.00280283,-2.53522,4.48521,7.02042
0.00167417,0.00318821,-2.18211,4.60999,6.7921
0.00167417,0.00362657,-1.85273,4.70893,6.56166
0.00167417,0.00412521,-1.55055,4.78029,6.33085
0.00167417,0.00469241,-1.27789,4.82341,6.1013
0.00167417,0.00533759,-1.03581,4.83873,5.87454
0.00167417,0.00607149,-0.824221,4.82765,5.65187
0.00167417,0.00690629,-0.642013,4.79242,5.43443
0.00167417,0.00785588,-0.487317,4.73582,5.22314
0.00167417,0.00893602,-0.357768,4.66095,5.01872
0.00167417,0.0101647,-0.250748,4.571,4.82175
0.00167417,0.0115623,-0.163588,4.46905,4.63264
0.00167417,0.013152,-0.093706,4.35798,4.45168
0.00167417,0.0149604,-0.0386875,4.24038,4.27907
0.00167417,0.0170174,0.00367503,4.11856,4.11488
0.00167417,0.0193572,0.035374,3.99453,3.95915
0.00167417,0.0220187,0.0581951,3.87005,3.81185
